"author_id","author_name"
"3481",""
"181","- Mimamour"
"11255","- Samoral Helgueras"
"3734",". Macnoughton"
"8644","16.95n"
"6980","1804-1894.  Elizabeth Palmer Peabody"
"18052","1863-  Arthur Thomas Sir Quiller-Couch"
"10375","1970 Revolution"
"6309","1stworld Library"
"6308","1stworld Publishing"
"72","2020 Planners"
"9860","20th Century Fox"
"517","401books"
"14702","510 Classics"
"10461","A & E Home Video"
"11336","A A Horner"
"1203","A C Bernardi"
"17851","A C Thompson"
"16942","A Country Gentleman"
"11893","A Dream Cafe Publishing"
"5479","A E 1861-1931 Cowley"
"11478","A E Nordenskiold"
"9985","A Full Cast"
"3528","A G Davies"
"2346","A Group Of Churchmen"
"17022","A Hakim Steele"
"14012","A J Dos Reis"
"3463","A J Royse"
"12921","A Klaits"
"19864","A Larrosa"
"8131","A Layman"
"14205","A Literary Association"
"8691","A M Overett"
"7895","A M Simons"
"734","A Mitnik Fischman"
"2290","A N Wilson"
"11241","A P Balder"
"3630","A Price"
"8524","A R Millard"
"1679","A R Roberts"
"11375","A Ray Stephens"
"15122","A Robert Lee"
"14189","A Roulier"
"14306","A S Berman"
"15509","A Sinner"
"17302","A Young Lady"
"2440","A. Albee"
"1245","A. Alcock"
"15024","A. Assmann"
"20211","A. B. Davidson"
"3707","A. Bashford"
"1519","A. Block"
"16095","A. Bowdoin Van Riper"
"1129","A. Bronson Alcott"
"15290","A. C. Clark"
"7538","A. Coustenis"
"20790","A. D. Lee"
"8017","A. David Redish"
"19462","A. Douglas"
"4545","A. Douglas Stone"
"5068","A. E. Brown"
"4044","A. Edwards"
"16207","A. Fassi Fehri"
"20598","A. Flemmen"
"7387","A. Gavin"
"1238","A. Guinier"
"19240","A. H. Nash-Williams"
"4632","A. H. Smith"
"8865","A. Hanslmeier"
"15112","A. Hardie"
"7386","A. Humphries"
"16682","A. J. Boyle"
"16684","A. J. Liebling"
"18466","A. Jeffers"
"576","A. Johnston"
"7309","A. K. Dewdney"
"7125","A. Kerkhof"
"5132","A. Kratzer"
"16677","A. M. Klein"
"9292","A. M. Pollard"
"14550","A. Moreau"
"1455","A. Neeleman"
"5922","A. Peres"
"11975","A. Porter"
"19374","A. Ryrie"
"2475","A. S. D. Smith"
"13879","A. Smith"
"16220","A. Sumru OEzsoy"
"5283","A. Szabolcsi"
"11115","A. Towey"
"8429","A. Watanabe"
"3541","A. de Leeuw"
"13281","A.D. Kylstra"
"11608","A.H. Zemanian"
"316","A.J. Christopher"
"15391","A.J. Friedemann"
"13106","A.J. Juliani"
"10231","A.J. Rochester"
"9045","A.K. Kasthuri"
"15699","A.M. Klein"
"6708","A.N. Wilson"
"2326","A.R. Coupe"
"10554","A.S Dagnell"
"1607","A.S. Mott"
"689","AA Publishing"
"3852","AA.Vv."
"11262","AAA Publishing"
"15521","AAVV"
"958","ADC the Map People"
"1251","AMA Vitam"
"9611","AMC"
"14687","ANA S PAREJA"
"1046","APA Publications Limited"
"15569","ATAC"
"11219","Aa"
"1369","Aa VV"
"3959","Aarne Ranta"
"15858","Aaron Allen"
"4017","Aaron Bacall"
"450","Aaron Barlow"
"4137","Aaron Chang"
"8975","Aaron D. Rubin"
"2539","Aaron Derr"
"18028","Aaron Douglas"
"7104","Aaron Foeste"
"10753","Aaron Gray"
"172","Aaron John Gulyas"
"8778","Aaron L. Halpern"
"15147","Aaron L. Segal"
"18763","Aaron Nwoke"
"6432","Aaron Panofsky"
"13242","Aaron Poochigian"
"856","Aaron Rabinowitz"
"1766","Aaron Rosenberg"
"4773","Aaron Santesso"
"10497","Aaron Sorkin"
"3676","Aaron Tugendhaft"
"326","Aaron Weedal"
"16044","Aase Berg"
"6993","Aayushi Hingle"
"10521","Abbeville Gifts"
"10522","Abbeville Press"
"9994","Abbi Jacobson"
"6817","Abbie Brown"
"15601","Abdalhaqq Bewley"
"15096","Abdelfattah Kilito"
"3009","Abdelfattah Mohsen Badawi"
"15442","Abdellah Benahnia"
"505","Abdessamed Sahali"
"10655","Abdisho of Nisibis"
"14832","Abdourahmane Diallo"
"6841","Abdullah Ibrahim"
"16146","Abdullah Saeed"
"10878","Abed Salem"
"17290","Abidin Kusno"
"16339","Abigail Folk"
"456","Abigail G. Scheg"
"20931","Abigail Keyes"
"8302","Abigail Lang"
"16585","Abigail Qwyl"
"78","Abigail R. Gehring"
"7083","Abigail Rian Evans"
"16769","Abigail Santamaria"
"18013","Abigail Shinn"
"11183","Aboriginal Studies Press"
"16792","Abraham H Maslow"
"11567","Abraham I H Kook"
"7263","Abraham Joshua Heschel"
"6022","Abraham Kuruvilla"
"11981","Abraham Kuyper"
"3279","Abraham Lincoln"
"20969","Abrams"
"18933","Abu L-Qasim Muhammad Ibn Ahmad Al-Iraqi"
"4007","Abul Pitre"
"11382","Accurate Maps"
"5756","Ace Mccloud"
"4659","Acharya Swami Avdheshanand Giri"
"15992","Achim Barsch"
"16970","Acie Cargill"
"16582","Ad Neeleman"
"17627","Ada Budell"
"20995","Adafa Taharqa Nicol-El"
"761","Adam Andrzejewski"
"15031","Adam Bly"
"6956","Adam Bostanci"
"12422","Adam Buben"
"4221","Adam D Tillery"
"16999","Adam D'Arras"
"13943","Adam Dodds"
"20084","Adam Finn"
"9395","Adam Francisco"
"644","Adam Geczy"
"9320","Adam Golub"
"1941","Adam H. Becker"
"16768","Adam Hamilton"
"1402","Adam Hochschild"
"18030","Adam Hughes"
"8144","Adam Jacek Morek"
"19794","Adam Jortner"
"15491","Adam Kirsch"
"18113","Adam L Gowans"
"1529","Adam Ledgeway"
"4306","Adam Marek"
"1284","Adam McLain"
"2288","Adam McLean"
"14300","Adam Nedeff"
"16537","Adam Of Adam of Bremen"
"20378","Adam Proteau"
"9782","Adam Resnick"
"1994","Adam Riches"
"4299","Adam Roberts"
"10563","Adam Savage"
"10801","Adam Sitze"
"12591","Adam Spencer"
"10137","Adam Sutherland"
"14464","Adam Tillery"
"3623","Adam Wallenta"
"8190","Adam Watson"
"306","Adam West"
"1293","Adam Woog"
"8841","Adam Zagajewski"
"247","Adams Media"
"17258","Addison McLeod"
"14372","Adelaide Victoria Finch"
"20256","Adele Flood"
"5150","Adele King"
"5159","Adele Marie Barker"
"6604","Adele Millicent Smith"
"3816","Adele R. Chwalek"
"17232","Adele Seeff"
"14595","Adelheid Voskuhl"
"10734","Adeline Johns-Putra"
"18155","Adenike Sanni"
"1051","Adi Kuntsman"
"19729","Adia Mendelson-Maoz"
"6215","Adil Salahi"
"18684","Adin Steinsaltz"
"14192","Adolf Kaegi"
"18223","Adolf Winds"
"10370","Adolfo Aranjuez"
"16250","Adolfo Bioy Casares"
"18953","Adolfo Garcia"
"20846","Adolfo Garcia Ortega"
"15137","Adolfo Perez Agusti"
"12623","Adolph Caso"
"17139","Adolph S. Tomars"
"2476","Adolphe Dreyspring"
"14385","Adoniram Judson"
"20776","Adonis"
"11945","Adonius D Johnson"
"914","Adrec Publishing"
"538","Adria Y. Goldman"
"4836","Adrian Anderson"
"5308","Adrian Ashman"
"9575","Adrian Aviles"
"6540","Adrian Butash"
"17992","Adrian Curtin"
"14369","Adrian Dingle"
"10535","Adrian Gill"
"14670","Adrian Gonzalez"
"6493","Adrian Kenny"
"15711","Adrian Lee"
"2667","Adrian M"
"20445","Adrian MacKenzie"
"14518","Adrian Morales"
"17889","Adrian Noble"
"2716","Adrian Pabst"
"2760","Adrian Room"
"6184","Adrian Snodgrass"
"19776","Adrian Tchaikovsky"
"15781","Adrian Thatcher"
"5100","Adrian Wallwork"
"13464","Adriana Belletti"
"10804","Adriana Cavarero"
"4880","Adriana De Souza E Silva"
"9177","Adriana Delgado"
"5444","Adrienne Clarkson"
"4016","Adrienne M. Mack-Kirschner"
"14784","Adrienne Mayor"
"2189","Adrienne Rich"
"19335","Aelfric"
"16029","Aeneas Tacticus"
"7702","Aeschylus"
"17923","Agata Mirecka"
"19497","Agata Orzeszek Sujat"
"9933","Agatha Christie"
"16121","Agency for Real Estate Affairs"
"1115","Agent Kasper"
"9456","Agnes Lewis"
"10961","Agnes Williams"
"16380","Agneta Sutton"
"11440","Agnieszka Bilinska"
"17320","Agnieszka Kodzis-Sofinska"
"20223","Agnieszka Kusza"
"2004","Agnieszka Maciag"
"11246","Aguilar"
"3567","Aguirre, Carmen"
"14370","Agust Gudmundsson"
"19936","Agustin Fernandez Mallo"
"11122","Agustin Lopez"
"16123","Agustin Palacios Roji Garcia"
"1458","Agustín López Tobajas"
"5005","Aharon Shlezinger"
"11716","Ahdaf Soueif"
"3984","Ahmad Nazri Abdullah"
"12248","Ahmed Deedat"
"9388","Ahmed Hulusi"
"3489","Ahmed Joktan"
"3353","Ahmed Ragab"
"11870","Aida Walqui"
"8835","Aidan Chambers"
"18898","Aidan Nichols"
"19112","Aidan Rankin"
"19974","Aileen Cater-Steel"
"18059","Ailsa Grant Ferguson"
"13083","Aime Bonpland"
"1838","Aimee Pozorski"
"15824","Aina Urdze"
"16030","Aineias Tacitus"
"12991","Ainsley Harriott"
"15602","Aisha Abdurrahman Bewley"
"3199","Akasha Lonsdale"
"19713","Akihiko Takahashi"
"17267","Akihiro Yamada"
"2350","Akira Iriye"
"10192","Akiva Goldsman"
"13579","Akshaya Kumar"
"2661","Al Bernstein"
"6420","Al Chemy"
"992","Al Cobb"
"11077","Al Hazari"
"1830","Al Michaud"
"6131","Al Mtenje"
"15282","Al Qc"
"12022","Al Strachan"
"18934","Al-Iraq"
"8880","Al-Qadi Al-Quda'i"
"10280","Alain Carraz"
"10279","Alain Carraze"
"8954","Alain Connes"
"15402","Alain Ehrenberg"
"8417","Alain Lemarechal"
"16314","Alain Michel"
"6925","Alan Andrews"
"13817","Alan Apt"
"18322","Alan Ayckbourn"
